Timestamp,NameGiven,NameFamily,Organization,Title,URL,Status
5/16/2019 15:20:13,Petr,Knoth,"CORE, KMi, The Open University",Founder and Head of CORE/Senior Research Fellow in Text and Data Mining,https://core.ac.uk,My Institution
5/16/2019 16:06:07,Adrian,Ho,University of Kentucky Libraries,Director of Digital Scholarship,http://libraries.uky.edu/,Myself
5/16/2019 20:47:51,Tanja,Niemann,Consortium Erudit.org,Executive Director,http://www.erudit.org,My Institution
5/16/2019 22:02:14,Sarah,Kansa,Open Context (Alexandria Archive Institute),Executive Director,https://opencontext.org,My Institution
5/17/2019 17:21:46,Stephanie,Walker,University of North Dakota Libraries,Dean of Libraries & Information Resources,http://library.und.edu,My Institution
5/18/2019 15:28:26,Sarah,Pritchard,Northwestern University,Dean of Libraries,http://library.northwestern.edu,My Institution
5/19/2019 17:17:35,Kevin,Hawkins,University of North Texas Libraries,Assistant Dean for Scholarly Communication,http://www.ultraslavonic.info/,Myself
5/19/2019 18:24:12,Eileen,Joy,Punctum Books,Director,https://punctumbooks.com,My Institution
5/20/2019 5:46:24,Leigh,Blackall,RMIT University,Educational Designer,http://rmit.edu.au,Myself
5/20/2019 5:52:40,Roger,Watson,University of Hull,Professor of Nursing,https://www.hull.ac.uk/index.aspx,Myself
5/20/2019 12:36:16,Damon,Jaggars,Ohio State University,Vice Provost and Director of University Libaries,https://library.osu.edu,My Institution
5/20/2019 15:16:24,Jennifer,Vinopal,The Ohio State University Libraries,Associate Director for Information Technology,https://library.osu.edu/,Myself
5/20/2019 15:20:29,Yolanda,Cooper,Emory University,University Librarian,https://libraries.emory.edu/,My Institution
5/20/2019 17:04:48,Ada,Emmett,"University of Kansas, Libraries","Director, Shulenburger Office of Scholarly Communication & Copyright",https://lib.ku.edu,Myself
5/20/2019 18:17:00,Dan,Morgan,Public Library of Science (PLOS),"Director, Community Relations",https://www.plos.org/,Myself
5/20/2019 19:22:14,Greg,Raschke,NC State University Libraries,Director of Libraries,https://www.lib.ncsu.edu/,My Institution
5/20/2019 20:09:32,Sarah,de Rijcke,"CWTS, Leiden University",Professor and Scientific Director,https://www.cwts.nl,Myself
5/21/2019 0:11:56,Eileen,Joy,ScholarLed,Partner,https://scholarled.org,My Institution
5/21/2019 1:51:09,Craig,Murdoch,Auckland University of Technology,Online and Open Initiatives Manager,https://tuwhera.aut.ac.nz/,Myself
5/21/2019 12:32:27,Heather,Piwowar,Our Research,Cofounder,https://our-research.org/,My Institution
5/21/2019 13:54:52,Robin,Ruggaber,University of Virginia Library,Director of Strategic Technology Partnerships & Initiatives,https://www.library.virginia.edu/,My Institution
5/21/2019 13:58:14,Samuel,Aggrey,Ghana Library Association,President,http://www.gla-net.org,My Institution
5/21/2019 15:28:32,Amy,Buckland,University of Guelph,"Head, Research & Scholarship",https://www.lib.uoguelph.ca/,Myself
5/21/2019 16:14:30,Colleen,Lyon,University of Texas at Austin,Head of Scholarly Communications,https://www.utexas.edu/,Myself
5/21/2019 21:21:13,Jean-Claude,Guédon,Université de Montréal,Professeur Honoraire (retired full professor),http://www.umontreal.ca,Myself
